,id,source_url,captions,md5
0,22552061,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/22552061/1200,"Aberts_Towhee, Large, ground-dwelling sparrow with a thick bill and long tail. Brown overall with warm reddish brown undertail. Pale bill contrasts with dark face.",b3475de32e45c44033071fcfa524effa
1,402356,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/402356/1200,"Aberts_Towhee, Found in dry habitats with dense woody vegetation, often along streams or dry streambeds.",cdae1266f3b6ce3ff591d329a7c4883a
2,287247941,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/287247941/1200,"Aberts_Towhee, Large, long-tailed sparrow with a restricted range in brushy woodlands of the southwestern U.S. and extreme northwest Mexico.",b1be956dc61d62b1d7e709d3ac5073eb
3,38645081,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/38645081/1200,"Aberts_Towhee, Large sparrow with a thick bill and long tail. Brown overall with contrasting pale bill and dark face.",d993062a1ad07948f4db9452d0910c2a
4,464798,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/464798/1200,"Aberts_Towhee, Large, long-tailed sparrow typically found on or near the ground. The black patch around the bill is distinctive.",e647cd0ec0048591df37ea3a136963ae
5,43786601,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/43786601/1200,"Aberts_Towhee, Occurs in cottonwood, willow, and mesquite brush mainly along tributaries of the Colorado River; also found in salt cedar and marshes.",919b874a820f55af3ebffbba99805275
6,435722,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/435722/1200,"Aberts_Towhee, Often uses a ""double-scratch"" technique to forage, hopping backwards and scratching with both feet to uncover prey underneath litter.",b9daa5bdf6dc31145146aeec3c698e94
7,93919631,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/93919631/1200,"Acadian_Flycatcher, One of the largest members of the Empidonax group. The forehead is rather flat, sloping gently up giving the head a peaked look. Olive above with 2 pale wingbars and a narrow eyering.",9bdd326cc37daecf07422e4c7321f70f
8,245841721,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/245841721/1200,"Acadian_Flycatcher, Relatively large flycatcher with long wings. Olive above and yellowish below, with 2 pale wingbars, and a thin white eyering.",c922a650dc2dea3786e860a072a962a0
9,477702,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/477702/1200,"Acadian_Flycatcher, Song is an explosive, two-parted ""ker-chip!"" or ""peet-sah!""",006c11315a5aac097446b301633557af
10,30415131,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/30415131/1200,"Acadian_Flycatcher, Olive and yellowish flycatcher with a long and broad bill, especially noticeable from below. Some individuals appear more yellow below than others.",182a90ea7344e608429503a598dbd748
11,27119491,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/27119491/1200,"Acadian_Flycatcher, Common flycatcher of deciduous forests often near water.",26b52901e450c62645570f3b1b011e3f
12,179423361,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/179423361/1200,"Acadian_Flycatcher, One of the largest members of the Empidonax group. The forehead is rather flat, sloping gently up giving the head a peaked look. Olive above with 2 pale wingbars and a narrow eyering.",68161e88cf7b023cf88cf55b4a29b9fa
13,27188071,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/27188071/1200,"Acorn_Woodpecker, Medium-sized woodpecker with a clownish face. Males have a red cap and whitish forehead. In flight, note white rump and wing patches.",cb5c7b36bb7211b8e2e73d356970b2a6
14,45345221,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45345221/1200,"Acorn_Woodpecker, Clown-faced woodpecker with a black back. Females have a black cap and the red is restricted to the back of the head unlike males.",1ae80b1b4f49915524fbd942557385ca
15,464824,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/464824/1200,"Acorn_Woodpecker, Medium-sized woodpecker with a clownish face. Males have a red cap and whitish forehead. In flight, note white rump and wing patches.",6a1b469b2358c8ff2412b6679bcd3f83
16,320005481,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/320005481/1200,"Acorn_Woodpecker, Gathers acorns by the hundreds and wedges them into holes they've made in a tree trunk or telephone pole, storing them for later use.",45b51c817e598dd95de9b74aeb14ac24
